category,word
racist,Rice Burner
racist,Rice Nigger
racist,Rice-Cooker
racist,Rice-Eater
racist,Rice-Paddy
racist,Rice-Picker
racist,SBH
racist,Schlitzauge
racist,Seaweed-Sucker
racist,Simpson
racist,Slant
racist,Slantey-eye'd
racist,Sleepwalker
racist,Slit
racist,Slope
racist,Slope Head
racist,Smack
racist,Socket Face
racist,Soy Sauce
racist,Soyback
racist,Squint
racist,Sunny Side Up
racist,Tab
racist,Table Face
racist,Tai-chink
racist,Tape Head
racist,Taxi
racist,Test-Taker
racist,Thin-Eyed
racist,Tinty
racist,Tiny
racist,Triad
racist,Twinkie
racist,Two Stroke
racist,UFO
racist,Uzbek
racist,VC
racist,Wang Chung
racist,Waverunner
racist,Widescreen
racist,Winky
racist,Wog
racist,Woggle
racist,Yangmo
racist,Yao
racist,Yellow
racist,Yellow Devil
racist,Yellow Monkey
racist,Yelvis
racist,Yigger
racist,Yolk
racist,Zip
racist,Zipperhead
racist,Squint Nigger
racist,Booner
racist,Bandwidth Whore
racist,Honkie
racist,Rice Rocket
racist,Abco
racist,Abo
racist,Bludger
racist,Boomer
racist,Boong
racist,Boori
racist,Bump
racist,Chromer
racist,Cuz
racist,Eucalyptus Nigger
racist,Fabo
racist,Fountain Swimmer
racist,Gin
racist,Goggles
racist,Goon Ninja
racist,Jafa
racist,Jin
racist,Koona
racist,Koorie
racist,Lamington
racist,Nunga
racist,Petrol Sniffers
racist,Queue Warmer
racist,Rock Ape
racist,Vegemite
racist,ABC
racist,Banana Bender
racist,Bogan
racist,Caneater
racist,Convict
racist,Crikey
racist,Dingo Fucker
racist,Drongo
racist,Foster
racist,Gubba
racist,Hoon
racist,Jafa
racist,Kangaroo
racist,Kangy
racist,Koala
racist,Larrikin
racist,Oz
racist,Roo
racist,Roofucker
racist,Sand Groper
racist,Shackle Dragger
racist,Skip
racist,Skippy Poofter
racist,Labanc
racist,Schluchtenscheisser
racist,Tupperware Head
racist,Belgie
racist,Phlegm
racist,Sprout
racist,Waffle
racist,Bingo
racist,Fish
racist,Night Fighter
racist,Akata
racist,Blushing
racist,925
racist,AA
racist,Abeed
racist,Ace Of Spades
racist,African
racist,African't
racist,Africoon
racist,Afro
racist,Americoon
racist,Angus
racist,Antique Farm Equipment
racist,Ape
racist,Apple
racist,Arf
racist,Ashy
racist,Aunt Jemima
racist,Baboomba
racist,Baboon
racist,Baluba
racist,Baluga
racist,Banjo Lips
racist,Bantu
racist,BAP
racist,BBK
racist,BDN
racist,Bear
racist,Bebe's Kids
racist,Beggar
racist,Bergie
racist,BET
racist,BFI
racist,Billy Reuben
racist,Bingo-Bongo
racist,Biscuit Lip
racist,Bix Nood
racist,Black Barbie
racist,Black Magic
racist,Black Time
racist,Blackie
racist,Blacky Chan
racist,Bleck
racist,Blockbuster
racist,Blood
racist,Blow
racist,BLT
racist,Blue Gums
racist,BMW
racist,Bo-Bo
racist,Bobblehead
racist,Boffer
racist,Bomb
racist,Bonky
racist,Boogat
racist,Boogie
racist,Boon
racist,Bootlip
racist,Bounty Bar
racist,Bourbon
racist,Boy
racist,Bozak
racist,Branch Manager
racist,Brillo Pad
racist,Bro
racist,Brother
racist,Brown Trumpet
racist,Brownie
racist,Bubb Rubb
racist,Bubba
racist,Bubbles
racist,Buck
racist,Buckwheat
racist,Buffalo Soldier
racist,Bumper Lips
racist,Bun
racist,Buppie
racist,Burnt Cracker
racist,Burnt Match
racist,Burnt Toast
racist,Burr Head
racist,Bush-Boogie
racist,Butter
racist,C-15
racist,Caffre
racist,Calpurnia
racist,Camel Lips
racist,Canadian
racist,Candy Man
racist,Canigger
racist,Cargo
racist,Carl Winslow
racist,Carlton (Banks)
racist,Casabooboo
racist,Cast Iron
racist,Chad
racist,Chain Dragger
racist,Chalky
racist,Chango
racist,Charcoal Briquette
racist,Chernozhopyi
racist,Cheshire Cat
racist,Chicago Navajo
racist,Chicken Bandit
racist,Chiquita
racist,Choco
racist,Chocolate Drop
racist,Chocolate-Covered Marshmallow
racist,Chombo
racist,CHUD
racist,Clicky
racist,Cliff Ape
racist,Clocker
racist,Clyde
racist,Coal-Miner
racist,Cocoa
racist,Cocoa Puff
racist,Cocolo
racist,Coconut
racist,Cocoon
racist,Cold Drink
racist,Colin
racist,Colonel's Kids
racist,Colored
racist,Coltrane
racist,Congo
racist,Congo Lip
racist,Conky
racist,Conquistador
racist,Convict
racist,Cookie
racist,Coon
racist,Coonadian
racist,Cooner
racist,Coontang
racist,Cordon
racist,Cornbread
racist,Cornelius
racist,Cosby
racist,Cotton Ball
racist,Cotton-Picker
racist,Craw
racist,Crayola
racist,Cream Of Wheat
racist,Cricket
racist,Crime
racist,Crimestopper
racist,Criminal Factory
racist,Crioulo
racist,Crispy
racist,Crow
racist,Cubs
racist,Cuff
racist,Curb-Biter
racist,Czarnuch
racist,D.F.N.
racist,DAN
racist,Darkie
racist,Darkness
racist,Dawg
racist,Defendant
racist,Democrats
racist,Destro
racist,Deuce
racist,Ding Dong
racist,Dinge
racist,Do-Da
racist,Donkey Kong
racist,Dootie
racist,Dorito
racist,Double A
racist,Double Dip
racist,Doujin
racist,DWB
racist,Egglet
racist,Eggot
racist,Eggplant
racist,Egot
racist,Egoy
racist,Eight Ball
racist,Elevator Operator
racist,Eraser Head
racist,Es-obe
racist,Extra Crispy
racist,Fahim
racist,Fakey Jamaikey
racist,Fat Albert
racist,Feargal
racist,Feb
racist,Field Nigger
racist,FILA
racist,Floppy
racist,Foedy
